Time  Strain  Total stress    Spring stress Gradient
10.9	0.0545	0.00055	5.0e-5	0.01021
11.0	0.055	0.00056	6.0e-5	0.01021
11.1	0.0555	0.00056	6.0e-5	0.01022
11.2	0.056	0.00057	6.0e-5	0.01022
11.3	0.0565	0.00057	6.0e-5	0.01023
11.4	0.057	0.00058	6.0e-5	0.01023
11.5	0.0575	0.00058	6.0e-5	0.01023
11.6	0.058	0.00059	6.0e-5	0.01024
11.7	0.0585	0.00059	6.0e-5	0.01024
11.8	0.059	0.0006	6.0e-5	0.01025
11.9	0.0595	0.00061	6.0e-5	0.01025
12.0	0.06	0.00061	6.0e-5	0.01025
12.1	0.0605	0.00062	6.0e-5	0.01026
12.2	0.061	0.00062	6.0e-5	0.01026
12.3	0.0615	0.00063	6.0e-5	0.01027
12.4	0.062	0.00063	6.0e-5	0.01027
12.5	0.0625	0.00064	6.0e-5	0.01027
12.6	0.063	0.00064	6.0e-5	0.01028
12.7	0.0635	0.00065	6.0e-5	0.01028
12.8	0.064	0.00065	6.0e-5	0.01029
12.9	0.0645	0.00066	6.0e-5	0.01029
13.0	0.065	0.00066	7.0e-5	0.0103
13.1	0.0655	0.00067	7.0e-5	0.0103
13.2	0.066	0.00067	7.0e-5	0.0103
13.3	0.0665	0.00068	7.0e-5	0.01031
13.4	0.067	0.00068	7.0e-5	0.01031
13.5	0.0675	0.00069	7.0e-5	0.01032
13.6	0.068	0.00069	7.0e-5	0.01032
13.7	0.0685	0.0007	7.0e-5	0.01033
13.8	0.069	0.0007	7.0e-5	0.01033
13.9	0.0695	0.00071	7.0e-5	0.01034
14.0	0.07	0.00071	7.0e-5	0.01034
14.1	0.0705	0.00072	7.0e-5	0.01035
14.2	0.071	0.00072	7.0e-5	0.01035
14.3	0.0715	0.00073	7.0e-5	0.01036
14.4	0.072	0.00073	7.0e-5	0.01036
14.5	0.0725	0.00074	7.0e-5	0.01036
14.6	0.073	0.00074	7.0e-5	0.01037
14.7	0.0735	0.00075	7.0e-5	0.01037
14.8	0.074	0.00075	7.0e-5	0.01038
14.9	0.0745	0.00076	7.0e-5	0.01038
15.0	0.075	0.00077	8.0e-5	0.01039
15.1	0.0755	0.00077	8.0e-5	0.01039
15.2	0.076	0.00078	8.0e-5	0.0104
15.3	0.0765	0.00078	8.0e-5	0.0104
15.4	0.077	0.00079	8.0e-5	0.01041
15.5	0.0775	0.00079	8.0e-5	0.01041
15.6	0.078	0.0008	8.0e-5	0.01042
15.7	0.0785	0.0008	8.0e-5	0.01042
15.8	0.079	0.00081	8.0e-5	0.01043
15.9	0.0795	0.00081	8.0e-5	0.01043
16.0	0.08	0.00082	8.0e-5	0.01044
16.1	0.0805	0.00082	8.0e-5	0.01045
16.2	0.081	0.00083	8.0e-5	0.01045
16.3	0.0815	0.00083	8.0e-5	0.01046
16.4	0.082	0.00084	8.0e-5	0.01046
16.5	0.0825	0.00084	8.0e-5	0.01047
16.6	0.083	0.00085	8.0e-5	0.01047
16.7	0.0835	0.00085	8.0e-5	0.01048
16.8	0.084	0.00086	8.0e-5	0.01048
16.9	0.0845	0.00086	8.0e-5	0.01049
17.0	0.085	0.00087	9.0e-5	0.01049
17.1	0.0855	0.00087	9.0e-5	0.0105
17.2	0.086	0.00088	9.0e-5	0.0105
17.3	0.0865	0.00089	9.0e-5	0.01051
17.4	0.087	0.00089	9.0e-5	0.01052
17.5	0.0875	0.0009	9.0e-5	0.01052
17.6	0.088	0.0009	9.0e-5	0.01053
17.7	0.0885	0.00091	9.0e-5	0.01053
17.8	0.089	0.00091	9.0e-5	0.01054
17.9	0.0895	0.00092	9.0e-5	0.01054
18.0	0.09	0.00092	9.0e-5	0.01055
18.1	0.0905	0.00093	9.0e-5	0.01056
18.2	0.091	0.00093	9.0e-5	0.01056
18.3	0.0915	0.00094	9.0e-5	0.01057
18.4	0.092	0.00094	9.0e-5	0.01057
18.5	0.0925	0.00095	9.0e-5	0.01058
18.6	0.093	0.00095	9.0e-5	0.01059
18.7	0.0935	0.00096	9.0e-5	0.01059
18.8	0.094	0.00096	9.0e-5	0.0106
18.9	0.0945	0.00097	9.0e-5	0.0106
19.0	0.095	0.00098	0.0001	0.01061
19.1	0.0955	0.00098	0.0001	0.01062
19.2	0.096	0.00099	0.0001	0.01062
19.3	0.0965	0.00099	0.0001	0.01063
19.4	0.097	0.001	0.0001	0.01063
